input_class,cluster_in_layer1,cluster_in_layer2,output_class
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,4,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,7,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,7,5,0
0,0,5,0
0,7,5,0
0,7,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,7,9,0
0,0,5,0
0,0,5,0
0,0,5,0
0,7,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,6,7,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,7,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,8,6,6
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,7,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,7,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,7,5,0
0,0,5,0
0,0,5,0
0,7,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,7,5,0
1,2,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,2,4,1
1,5,4,1
1,2,4,1
1,5,4,1
1,5,7,1
1,2,4,1
1,5,4,1
1,2,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,2,4,1
1,5,4,1
1,5,4,1
1,2,4,1
1,5,4,1
1,2,4,1
1,2,4,1
1,2,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,2,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,2,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,2,4,1
1,5,4,1
1,5,4,1
1,2,4,1
1,5,4,1
1,5,4,1
1,2,4,1
1,2,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,2,4,1
1,5,2,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,2,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,2,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
1,5,4,1
2,1,8,2
2,4,8,2
2,1,8,2
2,1,8,2
2,1,8,2
2,9,8,2
2,1,8,2
2,1,8,2
2,3,8,2
2,1,8,2
2,6,7,9
2,1,8,2
2,1,8,2
2,9,8,2
2,1,8,2
2,1,8,2
2,1,8,2
2,1,8,2
2,9,8,2
2,1,8,2
2,1,8,2
2,5,8,2
2,2,8,2
2,2,8,2
2,1,8,2
2,1,8,2
2,1,8,2
2,1,8,2
2,1,8,2
