input_class,cluster_in_layer1,cluster_in_layer2,cluster_in_layer3,cluster_in_layer4,cluster_in_layer5,cluster_in_layer6,output_class
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,0,1,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,1,0,0,0,0,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,4,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,2,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,0,1,0,0,0,0,0
0,1,2,4,1,4,4,0
0,0,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,0,1,0,0,0,0,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,0,0,0,0,0
0,0,1,0,0,0,0,0
0,1,2,4,1,4,4,0
0,1,2,0,0,0,0,0
0,1,2,4,1,4,4,0
0,2,1,0,0,0,0,0
0,1,2,4,1,4,4,0
0,4,2,4,1,4,4,0
0,4,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,0,1,0,0,0,0,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,4,1,0,0,0,0,0
0,1,2,4,1,4,4,0
0,2,1,0,0,0,0,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,4,2,4,1,4,4,0
0,4,2,4,1,4,4,0
0,1,4,0,0,0,0,2
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,4,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,0,0,0,0,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,4,2,4,1,4,4,0
0,4,1,0,0,0,0,0
0,1,2,4,1,4,4,0
0,1,2,4,1,4,4,0
0,0,1,4,1,4,4,0
0,1,2,4,1,4,4,0
0,1,1,0,0,0,0,0
0,1,2,4,1,4,4,0
0,4,1,0,0,4,4,0
