Classe,,N1,N2,N3,
0,<b>,-0.0,0.24340937,-0.0,</b>
0,<b>,-0.0,0.25592756,-0.0,</b>
0,<b>,-0.0,0.26741534,-0.0,</b>
0,<b>,-0.0,0.27762583,-0.0,</b>
0,<b>,-0.0,0.28619593,-0.0,</b>
0,<b>,-0.0,0.29873392,-0.0,</b>
0,<b>,-0.0,0.31217268,-0.0,</b>
0,<b>,-0.0,0.33675894,-0.0,</b>
0,<b>,-0.0,0.34886488,-0.0,</b>
0,<b>,-0.0,0.3512833,-0.0,</b>
0,<b>,-0.0,0.3585723,-0.0,</b>
0,<b>,-0.0,0.36671105,-0.0,</b>
0,<b>,-0.0,0.37452617,-0.0,</b>
0,<b>,-0.0,0.38214254,-0.0,</b>
0,<b>,-0.0,0.38228512,-0.0,</b>
0,<b>,-0.0,0.3889243,-0.0,</b>
0,<b>,-0.0,0.4049083,-0.0,</b>
0,<b>,-0.0,0.40548676,-0.0,</b>
0,<b>,-0.0,0.41065234,-0.0,</b>
0,<b>,-0.0,0.43970248,-0.0,</b>
0,<b>,-0.0,0.446957,-0.0,</b>
0,<b>,-0.0,0.44800055,-0.0,</b>
0,<b>,-0.0,0.46996054,-0.0,</b>
0,<b>,-0.0,0.47991976,-0.0,</b>
0,<b>,-0.0,0.48708963,-0.0,</b>
0,<b>,-0.0,0.50363886,-0.0,</b>
0,<b>,-0.0,0.5299318,-0.0,</b>
0,<b>,-0.0,0.5384405,-0.0,</b>
0,<b>,-0.0,0.5411834,-0.0,</b>
0,<b>,-0.0,0.54395664,-0.0,</b>
0,<b>,-0.0,0.54946524,-0.0,</b>
0,<b>,-0.0,0.55506593,-0.0,</b>
0,<b>,-0.0,0.5553303,-0.0,</b>
0,<b>,-0.0,0.56563044,-0.0,</b>
0,<b>,-0.0,0.57075465,-0.0,</b>
0,<b>,-0.0,0.5725664,-0.0,</b>
0,<b>,-0.0,0.60157764,-0.0,</b>
0,<b>,-0.0,0.6034302,-0.0,</b>
0,<b>,-0.0,0.6182202,-0.0,</b>
0,<b>,-0.0,0.6201879,-0.0,</b>
0,<b>,-0.0,0.636734,-0.0,</b>
0,<b>,-0.0,0.6462989,-0.0,</b>
0,<b>,-0.0,0.65443087,-0.0,</b>
0,<b>,-0.0,0.6566404,-0.0,</b>
0,<b>,-0.0,0.6573998,-0.0,</b>
0,<b>,-0.0,0.6686597,-0.0,</b>
0,<b>,-0.0,0.6941097,-0.0,</b>
0,<b>,-0.0,0.69635403,-0.0,</b>
0,<b>,-0.0,0.7032461,-0.0,</b>
0,<b>,-0.0,0.70716417,-0.0,</b>
0,<b>,-0.0,0.70985603,-0.0,</b>
0,<b>,-0.0,0.7116205,-0.0,</b>
0,<b>,-0.0,0.7181649,-0.0,</b>
0,<b>,-0.0,0.7317345,-0.0,</b>
0,<b>,-0.0,0.736593,-0.0,</b>
0,<b>,-0.0,0.7390498,-0.0,</b>
0,<b>,-0.0,0.7458834,-0.0,</b>
0,<b>,-0.0,0.76522064,-0.0,</b>
0,<b>,-0.0,0.76749873,-0.0,</b>
0,<b>,-0.0,0.8021617,-0.0,</b>
0,<b>,-0.0,0.80338824,-0.0,</b>
0,<b>,-0.0,0.81270903,-0.0,</b>
0,<b>,-0.0,0.8275025,-0.0,</b>
0,<b>,-0.0,0.84439325,-0.0,</b>
0,<b>,-0.0,0.8682385,-0.0,</b>
0,<b>,-0.0,0.8694241,-0.0,</b>
0,<b>,-0.0,0.87012136,-0.0,</b>
0,<b>,-0.0,0.87711835,-0.0,</b>
0,<b>,-0.0,0.88363373,-0.0,</b>
0,<b>,-0.0,0.89843273,-0.0,</b>
0,<b>,-0.0,0.8998734,-0.0,</b>
0,<b>,-0.0,0.9153954,-0.0,</b>
0,<b>,-0.0,0.924049,-0.0,</b>
0,<b>,-0.0,0.93268013,-0.0,</b>
0,<b>,-0.0,0.9330028,0.03917019,</b>
0,<b>,-0.0,0.9373114,0.04190944,</b>
0,<b>,-0.0,0.9416615,0.052063808,</b>
0,<b>,-0.0,0.9427953,-0.0,</b>
0,<b>,-0.0,0.94721496,-0.0,</b>
0,<b>,-0.0,0.95080924,0.034629896,</b>
0,<b>,-0.0,0.9597242,0.027929977,</b>
0,<b>,-0.0,0.9731991,0.0055974573,</b>
0,<b>,-0.0,0.980513,0.060284123,</b>
0,<b>,-0.0,0.98608565,0.06366511,</b>
0,<b>,-0.0,0.9893842,0.0507565,</b>
0,<b>,-0.0,1.0158092,0.049760148,</b>
0,<b>,-0.0,1.0177321,0.104824975,</b>
0,<b>,-0.0,1.026333,0.09276159,</b>
0,<b>,-0.0,1.0311182,0.14863054,</b>
0,<b>,-0.0,1.0344639,0.0907013,</b>
0,<b>,-0.0,1.0362715,0.1134914,</b>
0,<b>,-0.0,1.0391414,0.15087898,</b>
0,<b>,-0.0,1.0408288,0.11060615,</b>
0,<b>,-0.0,1.0411884,0.16278361,</b>
0,<b>,-0.0,1.0530993,0.06849204,</b>
0,<b>,-0.0,1.0534424,0.07075672,</b>
0,<b>,-0.0,1.0748625,0.18520175,</b>
0,<b>,-0.0,1.0794289,0.14708479,</b>
0,<b>,-0.0,1.0800343,0.13387541,</b>
0,<b>,-0.0,1.0882145,0.15876545,</b>
0,<b>,-0.0,1.0902723,0.21161725,</b>
0,<b>,-0.0,1.0912349,0.17049538,</b>
0,<b>,-0.0,1.0960368,0.24882017,</b>
0,<b>,-0.0,1.0987138,0.2280515,</b>
0,<b>,-0.0,1.1062717,0.2164432,</b>
0,<b>,-0.0,1.1153527,0.3496979,</b>
0,<b>,-0.0,1.1277204,0.23797326,</b>
0,<b>,-0.0,1.1357,0.2888863,</b>
0,<b>,-0.0,1.1361029,0.2218536,</b>
0,<b>,-0.0,1.1425325,0.27263445,</b>
0,<b>,-0.0,1.1644578,0.4791876,</b>
0,<b>,-0.0,1.1802249,0.29553014,</b>
0,<b>,-0.0,1.1906023,0.48453027,</b>
0,<b>,-0.0,1.191768,0.26579458,</b>
0,<b>,-0.0,1.1938007,0.361714,</b>
0,<b>,-0.0,1.1943798,0.31755573,</b>
0,<b>,-0.0,1.2083098,0.32737786,</b>
0,<b>,-0.0,1.2174754,0.4220329,</b>
0,<b>,-0.0,1.222527,0.31849712,</b>
0,<b>,-0.0,1.2274561,0.35483634,</b>
0,<b>,-0.0,1.2296834,0.3989473,</b>
0,<b>,-0.0,1.230738,0.40473723,</b>
0,<b>,-0.0,1.2340236,0.467561,</b>
0,<b>,-0.0,1.2418739,0.52473843,</b>
0,<b>,-0.0,1.2491033,0.44042832,</b>
0,<b>,-0.0,1.2526189,0.38493747,</b>
0,<b>,-0.0,1.258014,0.33486396,</b>
0,<b>,-0.0,1.259037,0.4463845,</b>
0,<b>,-0.0,1.2725532,0.48812705,</b>
0,<b>,-0.0,1.2734041,0.37169152,</b>
0,<b>,-0.0,1.2738917,0.44808638,</b>
0,<b>,-0.0,1.2770894,0.46367943,</b>
0,<b>,-0.0,1.2807387,0.57705957,</b>
0,<b>,-0.0,1.2861105,0.4892137,</b>
0,<b>,-0.0,1.2950765,0.49573457,</b>
0,<b>,-0.0,1.2976105,0.48413533,</b>
0,<b>,-0.0,1.307844,0.49599773,</b>
0,<b>,-0.0,1.3123537,0.48208863,</b>
0,<b>,-0.0,1.3194836,0.6923082,</b>
0,<b>,-0.0,1.3206255,0.6529519,</b>
0,<b>,-0.0,1.3278636,0.6715476,</b>
0,<b>,-0.0,1.3370495,0.6627951,</b>
0,<b>,-0.0,1.3466,0.5756433,</b>
0,<b>,-0.0,1.346822,0.51926374,</b>
0,<b>,-0.0,1.3509413,0.7280018,</b>
0,<b>,-0.0,1.3523482,0.55985856,</b>
0,<b>,-0.0,1.3523755,0.6431689,</b>
0,<b>,-0.0,1.3537154,0.59503704,</b>
0,<b>,-0.0,1.3559549,0.65716875,</b>
0,<b>,-0.0,1.360545,0.68263775,</b>
0,<b>,-0.0,1.3619224,0.64430624,</b>
0,<b>,-0.0,1.3670685,0.5291076,</b>
0,<b>,-0.0,1.3687614,0.6426506,</b>
0,<b>,-0.0,1.3971395,0.6940691,</b>
1,<b>,-0.0,-0.0,-0.0,</b>
1,<b>,-0.0,-0.0,-0.0,</b>
1,<b>,-0.0,-0.0,-0.0,</b>
1,<b>,-0.0,-0.0,-0.0,</b>
1,<b>,-0.0,-0.0,-0.0,</b>
1,<b>,-0.0,-0.0,-0.0,</b>
